pmc_ID,accession
PMC6053765,GSE83431
PMC6134793,GSM686976
PMC6134793,GSM881056
PMC6134793,GSM88115
PMC6134793,GSM530190
PMC6134793,GSM881094
PMC6134793,GSE117174
PMC4364644,GSE27860
PMC4364644,GSE57484
PMC4436769,GSE63617
PMC4436769,GSE63617
PMC4436769,GSE63617
PMC4261767,GSE59203
PMC4261767,GSE59310
PMC4949774,GSE15745
PMC5134101,GSE77384
PMC4875640,GSE69151
PMC4875640,GSE69151
PMC1310614,GSE3396
PMC2921344,GSE22452
PMC2955586,GSE20601
PMC2955586,GSE20601
PMC2955586,GSE20601
PMC4126993,GSE24097
PMC4126993,GSE24097
PMC4126993,GSE24097
PMC5134233,GSE19826
PMC5134233,GSE27342
PMC4233057,PRJNA262506
PMC2752459,GSE14390
PMC2752459,GSE2109
PMC2752459,GSE2109
PMC2752459,GSE8894
PMC2752459,GSE8894
PMC2564935,GPL3033
PMC2564935,GSE12533
PMC5084317,PRJNA290623
PMC5084317,PRJNA306682
PMC3599118,ERP000111
PMC3037883,GSE18090
PMC3037883,GSE9378
PMC3037883,GSE13052
PMC3189140,GSE28658
PMC2826305,GSE16207
PMC3163546,GSE28405
PMC4994210,GSE51808
PMC4994210,GSE51808
PMC4994210,GSE51808
PMC3679792,GSE24956
PMC3848773,GPL16935
PMC4061512,GSE56559
PMC4061512,GSE56561
PMC4061512,GSE40719
PMC4474563,ERS003549
PMC4474563,ERS006757
PMC4474563,ERS006775
PMC4474563,ERS012090
PMC4474563,ERS012138
PMC4474563,ERS012143
PMC4474563,ERS050261
PMC4474563,ERS050288
PMC4474563,ERS050336
PMC4474563,ERS050451
PMC4474563,ERS096165
PMC4474563,ERS096166
PMC4474563,ERS096169
PMC4474563,ERS096172
PMC4474563,ERS096173
PMC4474563,ERS096169
PMC4474563,ERS096173
PMC4474563,ERS096172
PMC4474563,ERS096166
PMC4474563,ERS096165
PMC4474563,ERS096169
PMC4474563,ERS096157
PMC4474563,ERS096159
PMC4474563,ERS096158
PMC4474563,ERS096165
PMC4474563,ERS096173
PMC4474563,ERS096157
PMC4474563,ERS096158
PMC4608321,DRX032164
PMC4608321,DRX032256
PMC5259852,GSE69611
PMC5259852,GSE69611
PMC5259852,GSE69611
PMC5259852,GSE69611
PMC5259852,GSE69611
PMC5282769,PRJNA342178
PMC5282769,SRR4195752
PMC5282769,SRR4195753
PMC5282769,SRR4195754
PMC5282769,SRR4195755
PMC5282769,SRR4195756
PMC5282769,SRR4195757
PMC5282769,SRR4195758
PMC5282769,SRR4195759
PMC5282769,SRR4195761
PMC5282769,SRR4195761
PMC5405508,GSE96550
PMC5405508,GSE96550
PMC5405508,GSE96550
PMC4387708,GSE62306
PMC5496404,DRA005275
PMC5496404,DRA005275
PMC5506614,SRX2961214
PMC5506614,SRX2961215
PMC5506614,SRA581793
PMC4739388,GSE69837
PMC5551022,GSE66476
PMC5551022,GSE66476
PMC5634883,PRJNA385863
PMC5100261,ERS033810
PMC5100261,ERS194295
PMC5100261,ERP000156
PMC4236460,PRJNA232737
PMC4262082,GSE52780
PMC5129388,GPL21572
PMC5129388,GSE88708
PMC5031349,GSE57736
PMC5031349,GSE57736
PMC5031349,GSE57736
PMC5031349,GPL13497
PMC5031349,GSE57736
PMC5952419,GSE107104
PMC6042416,SRR1925378
PMC6042416,SRR1925905
PMC6042416,SRR1925811
PMC6042416,SRR1924572
PMC6042416,SRR1925227
PMC6042416,SRR1927285
PMC6042416,SRR1928041
PMC6042416,SRR1931205
PMC6042416,SRR1925378
PMC6042416,SRR1925905
PMC6042416,SRR1925811
PMC6042416,SRR1924572
PMC6042416,SRR1925227
PMC6042416,SRR1927285
PMC6042416,SRR1928041
PMC6042416,SRR1931205
PMC6052536,PRJNA338313
PMC6052536,PRJNA338313
PMC6122477,SRP136087
PMC6122477,PRJNA439187
PMC6122477,PRJNA439187
PMC6182868,PRJNA244279
PMC6191920,SRR6743837
PMC6191920,SRR6743880
PMC6191920,SRR6743837
PMC6191920,SRR6743880
PMC6206636,SRP163370
PMC6206636,PRJNA494633
PMC6267907,PRJNA186355
PMC6267907,PRJNA362852
PMC6276198,PRJNA480117
PMC6322324,DRR076334
PMC6371417,ERS1812814
PMC6371417,ERS1812829
PMC6371417,ERS1812814
PMC6371417,ERS1812829
PMC6434803,SRP159442
PMC6446405,PRJNA315766
PMC6446405,PRJNA315766
PMC6446405,PRJNA315766
PMC6480722,PRJNA313047
PMC6480722,PRJNA313047
PMC6542142,SRP066090
PMC6542142,SRR2932830
PMC6542142,SRR2932847
PMC6542142,SRR1021009
PMC6542142,SRR540252
PMC6542142,SRR629571
PMC6542142,SRR2932838
PMC6542142,SRR2932841
PMC6542142,SRR2932838
PMC6542142,SRR2932841
PMC6542142,SRR2932838
PMC6542142,SRR2932841
PMC6542142,SRR2932830
PMC6542142,SRR2932831
PMC6542142,SRR2932832
PMC6542142,SRR2932833
PMC6542142,SRR2932834
PMC6542142,SRR2932835
PMC6542142,SRR2932839
PMC6542142,SRR2932840
PMC6542142,SRR2932842
PMC6542142,SRR2932843
PMC6542142,SRR2932844
PMC6542142,SRR2932845
PMC6542142,SRR2932846
PMC6542142,SRR2932847
PMC6542142,SRR2932837
PMC6542142,SRR2932841
PMC6542142,SRR2932836
PMC6542142,SRR2932838
PMC6542142,SRR2932830
PMC6542142,SRR2932831
PMC6542142,SRR2932832
PMC6542142,SRR2932833
PMC6542142,SRR2932834
PMC6542142,SRR2932835
PMC6542142,SRR2932839
PMC6542142,SRR2932840
PMC6542142,SRR2932842
PMC6542142,SRR2932843
PMC6542142,SRR2932844
PMC6542142,SRR2932845
PMC6542142,SRR2932846
PMC6542142,SRR2932847
PMC6542142,SRP066090
PMC6542142,SRR1021009
PMC6542142,SRR540252
PMC6542142,SRR629571
PMC5258789,GSM105949
PMC3597335,GSE39924
PMC3032896,GDS1362
PMC3228945,GSE27962
PMC1868913,GSE4577
PMC6182802,SRP153398
PMC6182802,PRJNA479518
PMC6591865,ERS3126950
PMC2533650,GSE11500
PMC2709617,GSE8114
PMC2709617,GSM199994
PMC2709617,GSM199994
PMC2936873,GSE19460
PMC4430919,GSE63272
PMC5016939,GSE1009
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GPL8300
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GPL571
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE1009
PMC5016939,GSE30528
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE1009
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE30528
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GSE1009
PMC5016939,GSE30528
PMC5069870,GSE37460
PMC5069870,GSE37460
PMC5069870,GSE37460
PMC5069870,GPL11670
PMC5069870,GPL14663
PMC5069870,GSE37460
PMC4016589,GSE5104
PMC4016589,GSE3219
PMC4016589,GSE14373
PMC4016589,GSE27274
PMC4016589,GSE9943
PMC4016589,GSE11166
PMC4016589,GSM115035
PMC4016589,GSM115037
PMC4016589,GSM115038
