pmc,repoIDcount
PMC5133703,2
PMC4524009,6
PMC5321748,8
PMC5818005,12
PMC5801106,21
PMC5801106,21
PMC6410271,2
PMC5801106,21
PMC5511167,6
PMC4869995,3
PMC5214747,3
PMC5611445,33
PMC6289774,2
PMC5602686,1
PMC5845736,2
PMC5845737,1
PMC5890482,2
PMC6070150,3
PMC6424576,6
PMC5132037,1
PMC6166124,5
PMC6114274,1
PMC6122123,4
PMC5780764,6
PMC5531098,14
PMC5737865,5
PMC5328454,1
PMC6547842,3
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC6629854,6
PMC5482724,29
PMC6161914,1
PMC6485071,1
PMC5062956,2
PMC6240320,5
PMC5207757,216
PMC5036307,5
PMC5069746,29
PMC5954204,3
PMC6384127,2
PMC6202238,12
PMC6407789,1
PMC6065529,1
PMC6629854,6
PMC6249432,7
PMC6352935,1
PMC5362939,2
PMC6321872,5
PMC5954204,3
PMC5618549,1
PMC5419556,2
PMC6274891,1
PMC5036307,5
PMC5012273,1
PMC6288358,1
PMC5816355,4
PMC5918560,1
PMC6104805,2
PMC6351927,1
PMC5645900,2
PMC6060480,1
PMC6303306,2
PMC6126143,4
PMC6119806,1
PMC6366751,1
PMC6563668,11
PMC6424805,3
PMC5632291,1
PMC6397258,1
PMC6080375,4
PMC5944922,2
PMC6522066,1
PMC6495231,2
PMC6614422,1
PMC6393990,1
PMC2896157,3
PMC3534618,14
PMC4868289,4
PMC6245588,3
PMC4459677,9
PMC6018222,14
PMC4545859,9
PMC4545859,9
PMC4545859,9
PMC4229885,1
PMC3932469,4
PMC3592443,12
PMC3627565,5
PMC3625192,4
PMC3726674,7
PMC4248469,2
PMC5351550,2
PMC5382505,8
PMC6172800,64
PMC6362602,18
PMC6409086,2
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC6041749,16
PMC3899341,3
PMC4449525,2
PMC5131443,1
PMC4005667,3
PMC4355981,6
PMC3998887,5
PMC4901439,6
PMC4750246,7
PMC4007545,3
PMC5599597,18
PMC4750246,7
PMC5625713,37
PMC5599597,18
PMC5599597,18
PMC5599597,18
PMC4750246,7
PMC5553801,11
PMC5599597,18
PMC4007545,3
PMC4393923,1
PMC5599597,18
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4480006,14
PMC5625713,37
PMC4480006,14
PMC6197042,7
PMC4053845,2
PMC4864936,4
PMC6007556,5
PMC6275460,6
PMC4659654,29
PMC5499541,4
PMC5765664,3
PMC6096938,9
PMC4060040,5
PMC6311904,1
PMC4699355,30
PMC6026117,35
PMC6535593,28
PMC6408512,54
PMC6362602,18
PMC6096938,9
PMC6535593,28
PMC5605956,24
PMC5605956,24
PMC6197692,1
PMC5240345,6
PMC5240345,6
PMC5240345,6
PMC5240345,6
PMC5240345,6
PMC4582294,3
PMC4053845,2
PMC4864936,4
PMC6007556,5
PMC5399794,11
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC4944131,69
PMC6436083,4
PMC5482724,29
PMC5805770,6
PMC6547476,6
PMC6053306,11
PMC4731934,4
PMC5094714,7
PMC5600148,1
PMC5094714,7
PMC4729692,6
PMC6599308,10
PMC4657217,5
PMC4671096,11
PMC5359991,10
PMC5751770,9
PMC5557537,3
PMC5889714,2
PMC5337971,9
PMC5482724,29
PMC6361242,3
PMC6305223,1
PMC6296055,1
PMC6599308,10
PMC6555027,1
PMC6397176,2
PMC5482724,29
PMC5482724,29
PMC5893884,1
PMC5646407,2
PMC6414667,8
PMC6256652,5
PMC6256652,5
PMC6256652,5
PMC6256652,5
PMC6256652,5
PMC6505185,4
PMC5979757,6
PMC6563281,16
PMC6563281,16
PMC6563281,16
PMC6563281,16
PMC6563281,16
PMC5751770,9
PMC5467106,4
PMC6524403,9
PMC5466706,47
PMC6524403,9
PMC4888303,151
PMC5577568,12
PMC4845393,11
PMC6267868,8
PMC5918592,15
PMC6296336,37
PMC4845393,11
PMC6267868,8
PMC5918592,15
PMC6296336,37
PMC4845393,11
PMC5918592,15
PMC4845393,11
PMC5527429,29
PMC5575072,2
PMC4128722,80
PMC4128722,80
PMC4128722,80
PMC5527429,29
PMC5861296,222
PMC5527429,29
PMC5527429,29
PMC5527429,29
PMC5527429,29
PMC5527429,29
PMC5861296,222
PMC5527429,29
PMC5527429,29
PMC5527429,29
PMC5527429,29
PMC4582294,3
PMC4414605,2
PMC6563281,16
PMC6563281,16
PMC6563281,16
PMC6563281,16
PMC4582294,3
PMC5408799,1
PMC5572715,7
PMC5946899,4
PMC5729916,12
PMC6226333,10
PMC6226333,10
PMC6226333,10
PMC6399548,19
PMC6226333,10
PMC6226333,10
PMC6226333,10
PMC6399548,19
PMC6249432,7
PMC4970815,3
PMC5217437,2
PMC5478717,11
PMC6206640,5
PMC5482724,29
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC5320689,69
PMC6202448,109
PMC6122196,6
PMC5903673,9
PMC4750060,3
PMC6580989,9
PMC5400434,2
PMC4607528,1
PMC4845393,11
PMC6267868,8
PMC5918592,15
PMC6296336,37
PMC4845393,11
PMC6267868,8
PMC5918592,15
PMC6296336,37
PMC6249432,7
PMC6249432,7
PMC6249432,7
PMC4392141,1
PMC6429511,1
PMC6107967,8
PMC6107967,8
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC4659654,29
PMC5839581,11
PMC4943207,13
PMC4943207,13
PMC4943207,13
PMC4943207,13
PMC4822827,4
PMC4943207,13
PMC4822827,4
PMC4943207,13
PMC4943207,13
PMC4943207,13
PMC4822827,4
PMC4943207,13
PMC4943207,13
PMC4943207,13
PMC5961307,7
PMC4943207,13
PMC4822827,4
PMC4943207,13
PMC5597861,124
PMC5490811,26
PMC5525439,9
PMC5481147,7
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC5068157,111
PMC6524403,9
PMC5921299,2
PMC6112139,106
PMC5605956,24
