journal,pmc_ID,converted_accession,species
Biomed_Res_Int,PMC5366756,GSE89192,Mus musculus
Nucleic_Acids_Res,PMC6323996,GSE108155,Mus musculus
PLoS_Genet,PMC3355077,GSE31520,Mus musculus
EMBO_J,PMC4330999,GSE49555,Mus musculus
Nat_Commun,PMC6102241,DRP004153,Mus musculus
Nat_Commun,PMC6318333,GSE106978,Mus musculus
Epigenetics_Chromatin,PMC6567924,SRP181175,Mus musculus
PLoS_One,PMC3796494,GSE26568,Mus musculus
Cell_Rep,PMC5658202,GSE99590,Mus musculus
PLoS_Med,PMC1502157,GSE4333,Mus musculus
PLoS_One,PMC6072070,GSE79447,Mus musculus
Cells,PMC6829476,GSE125688,Mus musculus
Nucleic_Acids_Res,PMC5449642,GSE85518,Mus musculus
Genome_Biol,PMC4862082,GSE66202,Mus musculus
Nat_Commun,PMC5953949,GSE89471,Mus musculus
Front_Genet,PMC5385341,GSE90531,Mus musculus
eNeuro,PMC6595439,GSE125685,Mus musculus
Nat_Commun,PMC6286339,SRP154652,Mus musculus
PLoS_One,PMC4526524,GSE67159,Mus musculus
Front_Immunol,PMC6379467,GSE98235,Mus musculus
Nat_Commun,PMC5529527,GSE96526,Mus musculus
Genetics,PMC7054020,SRP218808,Mus musculus
eLife,PMC6731060,GSE125470,Mus musculus
Sci_Rep,PMC5807367,GSE104305,Mus musculus
Nat_Commun,PMC5871780,GSE106809,Mus musculus
Nat_Commun,PMC4833867,GSE56795,Mus musculus
Genes_(Basel),PMC5748668,SRP112720,Mus musculus
PLoS_One,PMC4951019,SRP056150,Mus musculus
Nat_Chem_Biol,PMC5164930,ERP014134,Mus musculus
Sci_Data,PMC6760191,SRP196460,Mus musculus
Sci_Rep,PMC6906335,GSE134760,Mus musculus
PLoS_One,PMC3325236,GSE28515,Mus musculus
Nucleic_Acids_Res,PMC3592427,DRP000220,Mus musculus
Nat_Commun,PMC5725597,SRP114444,Mus musculus
eLife,PMC4359378,GSE56872,Mus musculus
Nat_Commun,PMC5923265,GSE97695,Mus musculus
Nat_Commun,PMC5606996,GSE98740,Mus musculus
Mol_Ther_Methods_Clin_Dev,PMC5640697,GSE57980,Mus musculus
PLoS_One,PMC4167997,GSE57373,Mus musculus
Nutrients,PMC5295094,GSE76622,Mus musculus
Nat_Commun,PMC6965122,GSE136970,Mus musculus
Nature,PMC3597744,GSE24400,Mus musculus
Nat_Commun,PMC6965122,GSE136979,Mus musculus
Nat_Commun,PMC6965122,GSE136973,Mus musculus
EMBO_Mol_Med,PMC4309667,GSE59151,Mus musculus
BMC_Genomics,PMC3118215,GSE21415,Mus musculus
J_Exp_Med,PMC4986536,GSE79248,Mus musculus
eLife,PMC4760953,GSE54144,Mus musculus
BMC_Genomics,PMC3171729,GSE26299,Mus musculus
PLoS_One,PMC4747576,GSE72315,Mus musculus
Oncogene,PMC3939062,GSE45135,Mus musculus
Nat_Commun,PMC6955241,GSE136866,Mus musculus
