PMC_ID,repo_ID
PMC5382366,TCGA
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GSE46706
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5389000,GTEx
PMC5405553,SRP072862
PMC5405553,SRP072862
PMC5405553,SRP072862
PMC5405553,SRP072862
PMC3101171,GSE7636
PMC3111376,GSE24352
PMC3111376,GSE24352
PMC3111376,GSE24352
PMC5009556,GSE51068
PMC5009556,GSE51068
PMC5009556,GSE51068
PMC5009564,TCGA
PMC3224390,GSE24212
PMC3225231,GSE3834
PMC3225231,GSE9936
PMC3225231,GSE11324
PMC3225231,GSE5840
PMC3225231,GSE3529
PMC3225231,GSE4006
PMC3225231,GSE4025
PMC3225231,GSE6800
PMC3225231,GSE8597
PMC3225231,GSE3529
PMC3225231,GSE3834
PMC3225231,GSE4006
PMC3225231,GSE4025
PMC3225231,GSE5840
PMC3225231,GSE6800
PMC3225231,GSE8597
PMC3225231,GSE9936
PMC3225231,GSE11324
PMC3225231,GSE11324
PMC3225231,GSE3834
PMC3225231,GSE5840
PMC3225231,GSE9936
PMC3287475,GSE6740
PMC3287484,GSE2109
PMC3287484,GSE3744
PMC3287486,GSE6089
PMC3287486,GSE3889
PMC3287486,GSE25410
PMC3287487,GSE20419
PMC3287487,GSE20419
PMC3287488,GSE10874
PMC3287488,GSE26100
PMC3265435,TCGA
PMC3265435,GSE31333
PMC3265435,TCGA
PMC3287565,GSE7390
PMC3287565,GSE7390
PMC3287565,GSE7390
PMC3287576,GSE6162
PMC3287576,GSE6696
PMC3287576,GSE17343
PMC3056741,GSE16422
PMC3056741,GSE16422
PMC3056741,GSE16422
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC5009528,TCGA
PMC3040133,TCGA
PMC3224482,GSE495
PMC3224482,GSE15457
PMC3224482,GSE20060
PMC3224482,GSE11341
PMC3224482,GSE495
PMC3224482,GSE15457
PMC3224482,GSE20060
PMC3224482,GSE11341
PMC3224482,GSE495
PMC3224482,GSE20060
PMC3224482,GSE15457
PMC3224482,GSE11341
PMC3224482,GSE18344
PMC3224482,GSE18344
PMC3224482,GSE18344
PMC3224482,GSE18344
PMC3224482,GSE495
PMC3224482,GSE15457
PMC3224482,GSE20060
PMC3224482,GSE11341
PMC3224482,GSE18344
PMC3259106,TCGA
PMC3259106,TCGA
PMC3259106,TCGA
PMC3164627,GPL10081
PMC3164627,GSE21638
PMC3164627,GPL10081
PMC3164627,GSE21638
PMC3160372,GSE11011
PMC3160372,GSE5913
PMC3160372,GSE11011
PMC3160372,GSE5913
PMC3160372,GSE11011
PMC3160372,GSE5913
PMC3160372,GSE11011
PMC3160372,GSE5913
PMC3141417,GSE11508
PMC3141417,GSE1887
PMC3141417,GSE15744
PMC3142228,GSE13911
PMC3142228,GSE28700
PMC3072338,GSE56
PMC3070648,GSE26500
PMC3080295,GSE26744
PMC3080295,GSE26744
PMC3114729,GSE28157
PMC4016543,PRJNA202264
PMC3123201,GSE5634
PMC3123201,GSE17159
PMC3123201,GSE15700
PMC3123201,GSE5751
PMC3123201,GSE17159
PMC3123201,GSE8951
PMC3123201,GPS1
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE11121
PMC3128864,GSE2990
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3128864,GSE2990
PMC3128864,GSE6532
PMC3117734,GSE6836
PMC3229612,GSE33142
PMC3229612,GSE28166
PMC3229612,GSE33263
PMC3229612,GSE33351
PMC5009532,TCGA
PMC5009532,GSE4290
PMC5009532,GSE16011
